Date,Open,High,Low,Close
10/23/97 00:00:00,1.0952,1.1089,1.0925,1.1069
10/24/97 00:00:00,1.1067,1.1079,1.0951,1.1008
10/27/97 00:00:00,1.1022,1.1177,1.1016,1.1167
10/28/97 00:00:00,1.117,1.144,1.1168,1.124
10/29/97 00:00:00,1.123,1.1326,1.1192,1.1317
10/30/97 00:00:00,1.1311,1.1428,1.1281,1.1392
10/31/97 00:00:00,1.139,1.1416,1.1298,1.1343
11/03/97 00:00:00,1.1344,1.1344,1.1219,1.1266
11/04/97 00:00:00,1.1264,1.1381,1.1253,1.1355
11/05/97 00:00:00,1.135,1.1398,1.1292,1.1389
11/06/97 00:00:00,1.1391,1.1394,1.1311,1.1353
11/07/97 00:00:00,1.1353,1.1503,1.1328,1.1462
11/10/97 00:00:00,1.145,1.1476,1.137,1.1476
11/11/97 00:00:00,1.1476,1.1532,1.1418,1.1449
11/12/97 00:00:00,1.1449,1.1476,1.1331,1.1386
11/13/97 00:00:00,1.1388,1.1409,1.1311,1.1338
11/14/97 00:00:00,1.1333,1.1355,1.1273,1.1318
11/17/97 00:00:00,1.1292,1.1325,1.1238,1.1298
11/18/97 00:00:00,1.1298,1.1344,1.1288,1.1315
11/19/97 00:00:00,1.1317,1.1325,1.1266,1.1295
11/20/97 00:00:00,1.1292,1.1322,1.1224,1.124
11/21/97 00:00:00,1.1237,1.1265,1.1168,1.1252
11/24/97 00:00:00,1.1253,1.1306,1.1244,1.1253
11/25/97 00:00:00,1.1253,1.1272,1.1175,1.1177
11/26/97 00:00:00,1.1174,1.1201,1.109,1.1114
11/27/97 00:00:00,1.1115,1.1122,1.1057,1.1082
11/28/97 00:00:00,1.1083,1.1123,1.1068,1.1087
12/01/97 00:00:00,1.1077,1.1101,1.0988,1.1011
12/02/97 00:00:00,1.101,1.1056,1.0992,1.1004
12/03/97 00:00:00,1.1002,1.1071,1.0994,1.1034
12/04/97 00:00:00,1.1041,1.1059,1.1024,1.1043
12/05/97 00:00:00,1.1048,1.1053,1.0954,1.0977
12/08/97 00:00:00,1.0979,1.0987,1.092,1.0929
12/09/97 00:00:00,1.0929,1.0954,1.0894,1.0922
12/10/97 00:00:00,1.092,1.0976,1.0898,1.0946
12/11/97 00:00:00,1.0943,1.1106,1.0936,1.1106
12/12/97 00:00:00,1.1106,1.1123,1.1006,1.1023
12/15/97 00:00:00,1.1013,1.1061,1.0986,1.1014
12/16/97 00:00:00,1.1014,1.1032,1.0956,1.0982
12/17/97 00:00:00,1.0985,1.1111,1.0974,1.1028
